model_name,demand_segment,row_count,actual_sum,predicted_sum,mae,rmse,wape,bias,p90_abs_error,p95_abs_error,underforecast_rate,underforecast_units,overforecast_units,fill_rate_proxy,underforecast_cost,overforecast_cost,weighted_order_cost,weighted_order_cost_rate
store_demand_champion_lightgbm_order_calibrated,all,196000,924844.0,1011066.9921854087,0.6508323585103564,0.9739906058003679,0.13792936134962205,0.43991322543575845,1.1974119963936642,1.9988140184112242,0.22573469387755102,20670.075041310592,106893.06722671927,0.9776502036653635,3.0,1.0,168903.29235065106,0.18262895401889515
store_demand_champion_lightgbm_order_calibrated,high,189309,917891.0,1004101.5690689548,0.6715421201754301,0.9905473605875224,0.13850115888301606,0.45539604070041434,1.2177957597192375,2.0501598646679273,0.2320016480991395,20459.199079667884,106669.76814862262,0.9777106442053927,3.0,1.0,168047.36538762628,0.18307987047223068
store_demand_champion_lightgbm_order_calibrated,medium,6691,6953.0,6965.423116453925,0.06488940961580442,0.16848266287339472,0.06244427437643425,0.0018566905475900358,0.07109998107200854,0.1327491888231377,0.04842325511881632,210.87596164271122,223.29907809663615,0.9696712265723125,3.0,1.0,855.9269630247697,0.12310182123180925
baseline_ma28,all,196000,924844.0,488909.5714285714,2.8568024781341106,3.425629411107526,0.6054353877132638,-2.2241552478134112,4.25,5.428571428571429,0.9422704081632653,497933.85714285716,61999.428571428565,0.4616023273732033,3.0,1.0,1555801.0,1.682230732966857
baseline_ma28,high,189309,917891.0,486524.9642857143,2.9336423141907826,3.483078550265822,0.6050444909658586,-2.278634590612626,4.285714285714286,5.5,0.9402299943478651,493365.4642857143,61999.42857142858,0.4625010330358241,3.0,1.0,1542095.8214285716,1.6800424248942103
baseline_ma28,medium,6691,6953.0,2384.607142857142,0.6827668296432309,0.7109376933801838,0.6570390992582853,-0.6827668296432309,0.7142857142857143,0.7857142857142858,1.0,4568.392857142858,0.0,0.3429609007417147,3.0,1.0,13705.178571428572,1.971117297774856
